,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bereket,0,TM,1589596155,41,39.24,55.52,67.15,1.68
1,Naze,75,JP,1589596155,78,28.37,129.48,82.4,16.11
2,Kasulu,40,TZ,1589596155,88,-4.58,30.1,71.6,1.34
3,Boa Vista,87,BR,1589596155,74,2.82,-60.67,80.6,10.29
4,Bengkulu,30,ID,1589596155,67,-3.8,102.27,84.7,2.71
5,Hilo,75,US,1589596097,61,19.73,-155.09,82.4,12.75
6,Kapaa,20,US,1589595968,74,22.08,-159.32,80.6,10.29
7,Puerto Ayora,73,EC,1589596156,92,-0.74,-90.35,75.0,1.01
8,Hermanus,77,ZA,1589596156,78,-34.42,19.23,54.0,1.01
9,Cap Malheureux,1,MU,1589596156,81,-19.98,57.61,71.01,4.0
10,Bolu Province,71,TR,1589596156,37,40.67,31.58,67.1,4.23
11,Springbok,0,ZA,1589596156,82,-29.66,17.89,45.75,6.33
12,Rolla,1,US,1589596156,88,37.95,-91.77,64.99,6.93
13,Noumea,75,NC,1589596157,78,-22.28,166.46,75.0,20.8
14,Ushuaia,75,AR,1589595999,80,-54.8,-68.3,41.0,5.82
15,Chokurdakh,0,RU,1589596157,95,70.63,147.92,32.29,13.33
16,Busselton,29,AU,1589596157,39,-33.65,115.33,62.01,10.36
17,Mount Isa,0,AU,1589596157,24,-20.73,139.5,80.6,12.75
18,Lagoa,100,PT,1589596157,92,39.05,-27.98,63.68,8.81
19,Rikitea,91,PF,1589596157,84,-23.12,-134.97,74.7,21.59
20,Cessnock,52,AU,1589596157,78,-32.83,151.35,68.0,5.19
21,Port Hardy,90,CA,1589596157,51,50.7,-127.42,59.0,11.41
22,Barrow,90,US,1589596158,86,71.29,-156.79,28.4,19.46
23,Albany,100,US,1589596158,88,42.6,-73.97,63.0,8.84
24,Lobão,0,PT,1589596158,72,40.99,-8.49,60.8,5.82
25,Ribeira Grande,98,PT,1589596158,89,38.52,-28.7,64.04,12.68
26,Menongue,0,AO,1589596159,47,-14.66,17.69,50.88,1.63
27,Carauari,100,BR,1589596159,96,-4.88,-66.9,74.1,2.82
28,Nikolskoye,100,RU,1589596160,92,59.7,30.79,35.6,2.24
29,Vaini,40,TO,1589596160,65,-21.2,-175.2,80.6,11.41
30,Somerset,90,US,1589596160,44,40.57,-74.55,78.8,4.7
31,Bredasdorp,70,ZA,1589596160,81,-34.53,20.04,46.4,2.24
32,San Antonio,90,US,1589596160,78,29.42,-98.49,84.0,17.22
33,Muros,0,ES,1589596160,71,42.78,-9.06,53.01,7.0
34,Asău,41,RO,1589596161,76,46.43,26.4,52.0,11.41
35,Kahului,40,US,1589596161,58,20.89,-156.47,84.2,21.92
36,Lebu,100,CL,1589596161,94,-37.62,-73.65,55.8,4.43
37,Teguise,20,ES,1589596162,68,29.06,-13.56,66.2,11.41
38,Atuona,0,PF,1589596162,69,-9.8,-139.03,81.37,11.43
39,Mataura,0,NZ,1589596162,58,-46.19,168.86,55.44,1.12
40,Katangli,100,RU,1589596162,88,51.71,143.23,41.56,3.98
41,Caravelas,100,BR,1589596162,92,-17.71,-39.25,73.72,5.01
42,Angoram,91,PG,1589596162,54,-4.06,144.07,91.83,3.31
43,Saldanha,100,ZA,1589596162,87,-33.01,17.94,48.2,3.36
44,Kununurra,100,AU,1589596163,23,-15.77,128.73,84.2,11.41
45,Castro,2,BR,1589596163,94,-24.79,-50.01,52.11,1.88
46,Harper,42,LR,1589596163,87,4.38,-7.72,79.92,7.96
47,Isangel,75,VU,1589596164,69,-19.55,169.27,78.8,9.17
48,Dikson,98,RU,1589596164,95,73.51,80.55,30.2,12.01
49,Kiruna,100,SE,1589596164,74,67.86,20.23,30.2,9.17
50,Tsimmerbude,40,RU,1589596164,81,54.67,20.13,46.4,13.42
51,Banda Aceh,100,ID,1589596165,80,5.56,95.32,83.07,6.44
52,Point Pedro,100,LK,1589596165,75,9.82,80.23,85.95,6.55
53,Rocha,5,UY,1589596165,62,-34.48,-54.33,57.94,14.25
54,Pevek,0,RU,1589596166,95,69.7,170.31,31.17,3.22
55,Bonavista,71,CA,1589596166,87,48.65,-53.11,35.01,10.0
56,Khovd,100,MN,1589596166,28,48.01,91.64,64.08,2.26
57,Thompson,40,CA,1589596166,30,55.74,-97.86,42.8,3.36
58,Grindavik,0,IS,1589596166,64,63.84,-22.43,35.6,8.05
59,Kumul,0,CN,1589596166,13,42.8,93.45,85.06,18.19
60,Viedma,95,AR,1589596167,55,-40.81,-63.0,65.62,11.65
61,Sept-Îles,75,CA,1589595907,60,50.2,-66.38,43.0,5.82
62,Tasiilaq,100,GL,1589596167,69,65.61,-37.64,33.8,13.87
63,New Norfolk,43,AU,1589596167,73,-42.78,147.06,57.99,4.0
64,Gatton,75,AU,1589596167,46,-27.55,152.28,73.4,13.87
65,Punta Arenas,90,CL,1589595872,93,-53.15,-70.92,41.0,8.05
66,Mandalgovi,0,MN,1589596168,54,45.76,106.27,39.72,27.83
67,Poum,0,NC,1589596168,69,-20.23,164.02,75.0,8.95
68,Hobyo,6,SO,1589596168,77,5.35,48.53,82.36,21.45
69,Pailón,98,BO,1589596168,82,-17.65,-62.75,60.8,6.93
70,Novyy Urgal,0,RU,1589596168,33,51.07,132.56,61.38,6.8
71,Ondjiva,0,AO,1589596168,36,-17.07,15.73,58.05,5.46
72,Cabo San Lucas,5,MX,1589596169,44,22.89,-109.91,78.8,5.82
73,Kiryat Gat,60,IL,1589596169,56,31.61,34.76,80.01,5.82
74,Bethel,90,US,1589596169,88,41.37,-73.41,66.0,9.17
75,Alvand,0,IR,1589596169,54,36.32,49.17,48.54,3.18
76,Kavieng,17,PG,1589596170,78,-2.57,150.8,85.42,15.64
77,Clyde River,90,CA,1589596170,100,70.47,-68.59,17.6,9.17
78,Yulara,0,AU,1589596170,27,-25.24,130.99,62.6,12.75
79,Talnakh,15,RU,1589596170,69,69.49,88.4,37.4,15.66
80,Rawson,100,AR,1589596170,53,-43.3,-65.1,66.9,15.84
81,Yellowknife,90,CA,1589595976,84,62.46,-114.35,32.0,4.7
82,Geraldton,91,AU,1589596171,64,-28.77,114.6,68.0,9.17
83,Sørland,100,NO,1589596171,79,67.67,12.69,37.53,30.02
84,Nyurba,28,RU,1589596171,46,63.28,118.33,59.4,3.42
85,Khoy,0,IR,1589596172,50,38.55,44.95,59.7,2.73
86,Bluff,35,NZ,1589596173,75,-46.6,168.33,53.2,8.57
87,Port Elizabeth,35,ZA,1589596173,72,-33.92,25.57,59.0,11.41
88,Thongwa,20,MM,1589596173,70,16.76,96.53,87.8,3.36
89,Bubaque,0,GW,1589596173,76,11.28,-15.83,78.96,15.03
90,Naantali,90,FI,1589596173,100,60.47,22.02,37.4,3.36
91,Puerto Madryn,90,AR,1589596171,52,-42.77,-65.04,67.48,14.16
92,Puerto Baquerizo Moreno,15,EC,1589596173,88,-0.9,-89.6,74.08,7.99
93,Karaton,20,ID,1589596173,66,-6.34,106.1,86.0,4.7
94,Mar del Plata,0,AR,1589596173,87,-38.0,-57.56,57.99,11.41
95,Rørvik,100,NO,1589596174,70,64.86,11.24,40.28,22.59
96,Ahipara,30,NZ,1589596174,72,-35.17,173.17,63.97,8.81
97,Qaanaaq,0,GL,1589596174,92,77.48,-69.36,23.02,1.54
98,Pontian Kecil,40,MY,1589596174,79,1.48,103.39,88.0,4.7
99,Barranca,13,PE,1589596048,88,-10.75,-77.77,64.29,5.37
100,Takāb,0,IR,1589596175,54,36.4,47.11,50.61,1.68
101,Hobart,12,AU,1589596022,44,-42.88,147.33,61.0,17.22
102,Mount Gambier,0,AU,1589596175,58,-37.83,140.77,57.2,11.41
103,Whitehorse,75,CA,1589596175,93,60.72,-135.05,48.0,8.05
104,Butaritari,99,KI,1589596175,75,3.07,172.79,83.43,7.38
105,Kaura Namoda,43,NG,1589596175,56,12.59,6.58,82.87,9.66
106,Severo-Kuril'sk,86,RU,1589596175,81,50.68,156.12,38.37,4.43
107,Port Alfred,26,ZA,1589596176,79,-33.59,26.89,57.99,5.99
108,Moerai,2,PF,1589596176,84,-22.43,-151.33,80.4,15.01
109,Jamestown,90,US,1589595991,100,42.1,-79.24,59.0,8.05
110,Dunedin,0,NZ,1589595939,50,-45.87,170.5,59.0,8.01
111,Huercal Overa,42,ES,1589596176,89,37.39,-1.95,53.01,3.0
112,Curup,57,ID,1589596176,62,-3.47,102.53,80.31,3.65
113,Hithadhoo,100,MV,1589596177,74,-0.6,73.08,84.81,18.77
114,East London,69,ZA,1589596177,65,-33.02,27.91,62.4,16.82
115,Bousso,84,TD,1589596177,43,10.48,16.71,87.37,7.36
116,Provideniya,0,RU,1589596177,59,64.38,-173.3,43.77,12.08
117,Gore,0,NZ,1589596178,59,-46.1,168.94,54.61,0.94
118,Tuktoyaktuk,90,CA,1589596178,92,69.45,-133.04,24.8,18.34
119,Litovko,83,RU,1589596178,58,49.24,135.17,63.0,7.74
120,Bariloche,40,AR,1589596083,67,-41.15,-71.31,57.99,39.15
121,Bambous Virieux,20,MU,1589596178,93,-20.34,57.76,71.01,5.82
122,Chui,52,UY,1589596178,72,-33.7,-53.46,55.38,12.44
123,Tocopilla,5,CL,1589596178,58,-22.09,-70.2,65.19,3.27
124,Vao,23,NC,1589596178,76,-22.67,167.48,72.19,16.91
125,Uvinza,29,TZ,1589596178,91,-5.1,30.39,64.9,1.39
126,Mahébourg,20,MU,1589596179,93,-20.41,57.7,66.2,5.82
127,Thinadhoo,79,MV,1589596179,75,0.53,72.93,84.56,18.32
128,Kanniyākumāri,100,IN,1589596179,78,8.08,77.57,83.07,21.92
129,São Félix do Xingu,98,BR,1589596180,86,-6.64,-51.99,74.23,2.08
130,Mossamedes,0,AO,1589596180,64,-15.2,12.15,74.1,5.26
131,Paramonga,17,PE,1589596180,86,-10.67,-77.83,65.53,5.84
132,Khatanga,68,RU,1589596180,88,71.97,102.5,34.88,10.38
133,Ancud,90,CL,1589596180,100,-41.87,-73.82,60.01,13.87
134,Aleksandrov Gay,25,RU,1589596180,83,50.15,48.57,45.41,10.13
135,Ulaangom,100,MN,1589596180,34,49.98,92.07,60.3,3.76
136,Falmouth,70,GB,1589596092,87,50.15,-5.07,48.0,8.05
137,Ostrovnoy,100,RU,1589596181,89,68.05,39.51,34.5,4.23
138,Comodoro Rivadavia,100,AR,1589596182,59,-45.87,-67.5,64.4,25.28
139,Visaginas,50,LT,1589596182,85,55.6,26.42,39.58,9.75
140,Maceió,20,BR,1589596158,88,-9.67,-35.74,77.0,2.24
141,Ahar,0,IR,1589596182,74,38.48,47.07,52.59,0.29
142,Saint Paul Harbor,90,US,1589596183,87,57.79,-152.41,46.4,17.22
143,Lata,0,PT,1589596183,80,40.16,-8.33,62.01,7.0
144,George Town,20,MY,1589596035,88,5.41,100.34,84.2,2.24
145,Oranjestad,20,AW,1589596183,78,12.52,-70.03,80.6,19.46
146,Touros,75,BR,1589596183,100,-5.2,-35.46,75.2,4.7
147,Korla,100,CN,1589596184,19,41.76,86.15,79.21,14.32
148,Avarua,75,CK,1589596184,83,-21.21,-159.78,80.6,12.75
149,Plácido de Castro,46,BR,1589596184,81,-10.34,-67.19,72.82,3.27
150,São João da Barra,100,BR,1589596184,82,-21.64,-41.05,71.1,7.2
151,San Policarpo,12,PH,1589596184,75,12.18,125.51,84.94,13.2
152,Cherskiy,0,RU,1589596184,59,68.75,161.3,44.64,6.17
153,Tiksi,100,RU,1589596184,95,71.69,128.87,33.13,13.42
154,Arlit,0,NE,1589596185,11,18.74,7.39,87.76,10.36
155,Berghin,70,RO,1589596185,67,46.07,23.73,59.0,8.05
156,Santa Catarina,88,BR,1589596185,90,-27.0,-50.0,56.52,1.28
157,Houma,90,US,1589596186,94,29.6,-90.72,75.99,8.05
158,Souillac,20,MU,1589596186,93,-20.52,57.52,66.2,5.82
159,Touho,31,NC,1589596186,68,-20.78,165.23,75.11,9.82
160,Port Blair,99,IN,1589596186,78,11.67,92.75,84.52,12.5
161,Saint Anthony,1,US,1589596186,42,45.02,-93.22,64.4,3.36
162,Panabá,0,MX,1589596187,77,21.28,-88.27,80.6,10.02
163,Meulaboh,100,ID,1589596187,74,4.14,96.13,83.16,4.56
164,Savinka,87,RU,1589596187,86,50.08,47.1,44.55,8.28
165,Arraial do Cabo,100,BR,1589596188,76,-22.97,-42.03,71.28,9.06
166,Yermakovskoye,100,RU,1589596188,46,53.28,92.4,57.16,3.38
167,Pierre,75,US,1589595964,93,44.37,-100.35,55.0,9.17
168,Novoagansk,100,RU,1589596188,87,61.94,76.66,51.33,10.0
169,Dohār,75,BD,1589596188,74,23.59,90.15,80.6,11.41
170,Taltal,0,CL,1589596189,55,-25.4,-70.48,64.53,2.3
171,North Battleford,1,CA,1589596189,26,52.78,-108.28,55.99,4.63
172,Tessalit,86,ML,1589596189,14,20.2,1.01,85.35,10.16
173,Bongor,61,TD,1589596189,31,10.28,15.37,85.48,1.39
174,College,40,US,1589596189,24,64.86,-147.8,66.2,9.17
175,Bonthe,96,SL,1589596189,88,7.53,-12.51,80.83,3.8
176,Longyearbyen,40,SJ,1589596190,64,78.22,15.64,35.6,21.92
177,Tumpat,20,MY,1589596190,84,6.2,102.17,86.0,3.36
178,Srednekolymsk,100,RU,1589596190,74,67.45,153.68,38.59,4.59
179,Gorin,48,RU,1589596190,48,51.2,136.67,52.45,12.1
180,Beringovskiy,92,RU,1589596191,96,63.05,179.32,31.8,14.56
181,San Patricio,0,MX,1589596191,73,19.22,-104.7,74.16,5.68
182,Airai,41,TL,1589596191,80,-8.93,125.41,71.13,4.99
183,Broome,90,US,1589596191,93,42.25,-75.83,62.01,11.41
184,Lorengau,100,PG,1589596161,82,-2.02,147.27,82.36,8.41
185,Cape Town,100,ZA,1589596164,100,-33.93,18.42,48.2,2.24
186,At-Bashi,100,KG,1589596191,52,41.17,75.81,52.27,1.41
187,Leningradskiy,42,RU,1589596145,95,69.38,178.42,30.07,2.44
188,Katsuura,100,JP,1589596192,93,35.13,140.3,69.01,3.0
189,Vanimo,73,PG,1589596192,62,-2.67,141.3,88.14,7.09
190,Namatanai,3,PG,1589596192,70,-3.67,152.43,86.31,9.4
191,Inhambane,0,MZ,1589596192,85,-23.86,35.38,64.99,6.26
192,Aklavik,90,CA,1589596192,79,68.22,-135.01,26.6,10.29
193,Saint-Philippe,90,RE,1589596192,60,-21.36,55.77,73.4,6.93
194,Beaverlodge,75,CA,1589596193,41,55.22,-119.44,59.0,5.82
195,Lensk,100,RU,1589596193,73,60.73,114.93,49.73,2.98
196,Kolondiéba,100,ML,1589596193,70,11.09,-6.89,79.43,8.14
197,Tuatapere,5,NZ,1589596193,64,-46.13,167.68,54.9,3.18
198,São Filipe,1,CV,1589596193,79,14.9,-24.5,73.0,7.43
199,Fortuna,1,US,1589596194,71,40.6,-124.16,61.0,10.29
200,Goderich,0,CA,1589596194,86,43.75,-81.72,46.0,11.72
201,Tegul'det,100,RU,1589596194,52,57.31,88.17,55.24,9.46
202,Benjamín Aceval,0,PY,1589596194,76,-24.97,-57.57,53.6,1.12
203,Klaksvík,93,FO,1589596194,74,62.23,-6.59,37.4,18.34
204,Kavaratti,100,IN,1589596194,83,10.57,72.64,82.15,9.48
205,Hasaki,75,JP,1589596095,82,35.73,140.83,72.0,16.11
206,Uni,100,RU,1589596194,95,57.75,51.49,43.66,7.78
207,Umri,22,IN,1589596195,19,26.51,78.94,93.7,7.63
208,Torbay,90,CA,1589596195,97,47.67,-52.73,36.0,6.93
209,Tura,0,IN,1589596195,80,25.52,90.22,79.32,5.17
210,Dali,0,CN,1589596195,48,25.7,100.18,70.63,4.79
211,Al Bardīyah,0,LY,1589596195,59,31.76,25.09,69.42,3.89
212,Pucallpa,75,PE,1589596195,78,-8.38,-74.55,75.2,4.7
213,Port Hawkesbury,1,CA,1589596196,86,45.62,-61.35,34.0,3.36
214,Quang Ngai,53,VN,1589596196,49,15.12,108.8,90.05,6.04
215,La Paz,32,BO,1589596028,40,-16.5,-68.15,35.6,8.05
216,Kruisfontein,51,ZA,1589596197,90,-34.0,24.73,51.03,9.06
217,Daru,69,PG,1589596197,77,-9.08,143.21,81.37,20.51
218,Tongren,97,CN,1589596197,74,27.72,109.19,78.82,1.12
219,Narsaq,100,GL,1589596197,60,60.92,-46.05,41.0,5.82
220,Rāvar,1,IR,1589596197,25,31.27,56.81,68.43,1.99
221,Richards Bay,38,ZA,1589596197,73,-28.78,32.04,68.2,15.68
222,Ketchikan,75,US,1589596198,54,55.34,-131.65,59.0,13.87
223,Selma,7,US,1589596115,33,36.57,-119.61,78.8,9.17
224,Bathsheba,40,BB,1589596198,78,13.22,-59.52,80.6,19.46
225,Kętrzyn,85,PL,1589596199,91,54.08,21.38,40.53,12.48
